Fecha de seguimiento,Hora de seguimiento,Usuario,Nombre punto de control,Es preliminar,Es físico,Es denegado,Cant.,Tipo de objeto,Código,N/S,Nombre / Descripción,Tipo de producción,Nombre producción,Información adicional
31/03/2022,20:30,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,10.0,Catarata 10,,,
31/03/2022,20:30,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,19.0,Catarata 19,,,
31/03/2022,20:30,MMF,Entrada Material Sucio,,,,1,Set,HNB-CPL.002,5.0,Mano 05,,,
31/03/2022,20:30,MMF,Entrada Material Sucio,,,,1,Set,HNB-CG.001,7.0,Laparotomia 07,,,
31/03/2022,20:30,MMF,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,3.0,FACO INFINITI 03,,,
31/03/2022,20:30,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,4.0,Catarata 04,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,8.0,Catarata 08,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,6.0,Catarata 06,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,9.0,Catarata 09,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,1.0,Catarata 01,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,18.0,Catarata 18,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,DEP-QUI.NEUR.SYNTHES,3.0,SYNTHES-PLACAS NEURO 3,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-NC.010,1.0,Craneotomia 01,,,
31/03/2022,18:23,MAA,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,13.0,Locales 13,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,9.0,Locales 09,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.URO.010,2.0,RESECTOR BIPOLAR OLYMPUS,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.URO.010,4.0,RESECTOR BIPOLAR OLYMPUS,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,9.0,Catarata 09,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,6.0,Catarata 06,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,8.0,Catarata 08,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,6.0,FACO INFINITI 06,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,12.0,FACO INFINITI 12,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.003,1.0,FACO CENTURION 01,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,4.0,FACO INFINITI 04,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,11.0,FACO INFINITI 11,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.003,2.0,FACO CENTURION 02,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,14.0,Catarata 14,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,15.0,Catarata 15,,,
31/03/2022,18:22,MAA,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,11.0,Locales 11,,,
31/03/2022,18:21,MAA,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,15.0,Locales 15,,,
31/03/2022,18:21,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.CP,2.0,*QUIROFANO C.PEDIATRICA BTC,,,
31/03/2022,18:21,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.CV,5.0,*QUIROFANO C.VASCULAR BTC,,,
31/03/2022,17:35,MMF,Entrada Material Sucio,,,,1,Set,CONT-CCEE.ORL,3.0,*CCEE ORL -1C,,,
31/03/2022,17:34,MMF,Entrada Material Sucio,,,,1,Set,CONT-HOS.CPL,2.0,HOSPITALIZACION C.PLASTICA 6D,,,
31/03/2022,17:34,MMF,Entrada Material Sucio,,,,1,Set,CONT-HOS.CV,1.0,*HOSP C.VASCULAR 4D,,,
31/03/2022,17:34,MMF,Entrada Material Sucio,,,,1,Set,CONT-HOS.CG,1.0,*HOS C.GENERAL 5D,,,
31/03/2022,17:34,MMF,Entrada Material Sucio,,,,1,Set,CONT-HOS.HEMA,1.0,*HOS HEMATOLOGIA 3H,,,
31/03/2022,17:34,MMF,Entrada Material Sucio,,,,1,Set,CONT-HOS.URO,2.0,HOS UROLOGIA 6H,,,
31/03/2022,17:34,MMF,Entrada Material Sucio,,,,1,Set,CONT-RADV,1.0,*RADIOLOGIA VASCULAR -2C,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,CONT-HOS.NEUMO,3.0,HOSPITALIZACION NEUMOLOGIA 5-B,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,CONT-UCSI,1.0,*UCSI -2BTA,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,CONT-QUI.CPL,1.0,*QUIROFANO C.PLASTICA BTF,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,HNB-CG.001,11.0,Laparotomia 11,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,17.0,Locales 17,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,5.0,Locales 05,,,
31/03/2022,16:56,MMF,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,4.0,Locales 04,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,HNB-CPL.003,1.0,Locales 01,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,2.0,Catarata 02,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,7.0,Catarata 07,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,11.0,Catarata 11,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,HNB-OFT.002,3.0,Catarata 03,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,15.0,FACO INFINITI 15,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,1.0,FACO INFINITI 01,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,14.0,FACO INFINITI 14,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,EQP-QUI.OFT.002,2.0,FACO INFINITI 02,,,
31/03/2022,16:55,MMF,Entrada Material Sucio,,,,1,Set,CONT-QUI.OFT,1.0,*QUIROFANO OFTALMOLOGIA BTC,,,
31/03/2022,16:39,MAA,Entrada Material Sucio,,,,1,Set,EQP-CCEE.GIN.002,5.0,PINZA AGARRE HISTEROSCOPIA,,,
31/03/2022,16:39,MAA,Entrada Material Sucio,,,,1,Set,EQP-CCEE.GIN.001,1.0,Histeroscopio Diagnostico 01*,,,
31/03/2022,16:39,MAA,Entrada Material Sucio,,,,1,Set,CONT-HOS.GINE,1.0,*HOSP OBSTETRICIA 3F,,,
31/03/2022,16:39,MAA,Entrada Material Sucio,,,,1,Set,CONT-HOS.CP,1.0,HOSPITALIZACION PEDIATRIA 4-F,,,
31/03/2022,16:39,MAA,Entrada Material Sucio,,,,1,Set,CONT-HOS.ORL,2.0,HOSPITALIZACION ORL 6-F,,,
31/03/2022,15:47,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.GINE,1.0,*QUIROFANO GINECOLOGIA BTE,,,
31/03/2022,15:47,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.CV,3.0,*QUIROFANO C.VASCULAR BTC,,,
31/03/2022,15:47,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.ORL,1.0,*QUIROFANO ORL BTC,,,
31/03/2022,15:47,MAA,Entrada Material Sucio,,,,1,Set,HGY-QUI.TRA.CAJA,,CONTENEDOR QUIROFANO TRAUMATOLOGIA,Producción,20211005000508,
31/03/2022,15:47,MAA,Entrada Material Sucio,,,,1,Set,EQP-QUI.CG.OPT,11.0,"OPTICA HOPKINS II 0º, 10mm, 31cm",,,
31/03/2022,15:47,MAA,Entrada Material Sucio,,,,1,Set,HNB-GIN.007,3.0,Histerectomia 03,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,HUBU-GIN.022,2.0,Laparoscopia Histerectomia 02,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,HNB-CV.001,1.0,By-Pass 01,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,HNB-CP.002,5.0,Hernia Infantil 05,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.CV,3.0,*QUIROFANO C.VASCULAR BTC,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.GINE,1.0,*QUIROFANO GINECOLOGIA BTE,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,CONT-QUI.ORL,1.0,*QUIROFANO ORL BTC,,,
31/03/2022,15:46,MAA,Entrada Material Sucio,,,,1,Set,HNB-CPL.002,9.0,Mano 09,,,
31/03/2022,15:26,MMF,Entrada Material Sucio,,,,1,Set,HUBU-URG.006,1.0,CONSULTA URGENCIAS OFTALMOLOGIA,,,
31/03/2022,14:48,AV,Entrada Material Sucio,,,,1,Set,HNB-NC.014,1.0,Valvulas/Derivacion V-P 01,,,
