Fecha de seguimiento,Hora de seguimiento,Usuario,Nombre punto de control,Es preliminar,Es físico,Es denegado,Cant.,Tipo de objeto,Código,N/S,Nombre / Descripción,Tipo de producción,Nombre producción,Información adicional
31/03/2022,21:08,MMF,Cargado en carro  L+D,,,,1,Set,HGY-QUI.OFT.SUELTO,,SUELTO QUIROFANO OFTALMOLOGIA,,,
31/03/2022,21:08,MMF,Cargado en carro  L+D,,,,1,Set,HGY-QUI.OFT.CAJA,,CONTENEDOR QUIROFANO OFTALMOLOGIA,,,
31/03/2022,21:08,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.002,3.0,FACO INFINITI 03,,,
31/03/2022,21:08,MMF,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,19.0,Catarata 19,,,
31/03/2022,21:08,MMF,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,10.0,Catarata 10,,,
31/03/2022,21:07,MMF,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,4.0,Catarata 04,,,
31/03/2022,21:07,MMF,Cargado en carro  L+D,,,,1,Set,HNB-CPL.002,5.0,Mano 05,,,
31/03/2022,21:07,MMF,Cargado en carro  L+D,,,,1,Set,HNB-CG.001,7.0,Laparotomia 07,,,
31/03/2022,19:08,MAA,Cargado en carro  L+D,,,,1,Set,EXT-QUI.OMS800.04,,TAPONES DE MICROSCOPIO NEGROS,,,
31/03/2022,19:08,MAA,Cargado en carro  L+D,,,,1,Set,EXT-QUI.OMS800.02,,TAPONES DE MICROSCOPIO AZULES GRANDES - CONJUNTO MANGO,,,
31/03/2022,19:07,MAA,Cargado en carro  L+D,,,,1,Set,CONT-QUI.OFT,1.0,*QUIROFANO OFTALMOLOGIA BTC,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.002,6.0,FACO INFINITI 06,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.002,12.0,FACO INFINITI 12,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.003,1.0,FACO CENTURION 01,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.002,11.0,FACO INFINITI 11,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.003,2.0,FACO CENTURION 02,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,EQP-QUI.OFT.002,4.0,FACO INFINITI 04,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,18.0,Catarata 18,,,
31/03/2022,19:04,MMF,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,8.0,Catarata 08,,,
31/03/2022,19:02,MAA,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,6.0,Catarata 06,,,
31/03/2022,19:02,MAA,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,1.0,Catarata 01,,,
31/03/2022,19:02,MAA,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,14.0,Catarata 14,,,
31/03/2022,19:02,MAA,Cargado en carro  L+D,,,,1,Set,HNB-OFT.002,15.0,Catarata 15,,,
