Fecha de seguimiento,Hora de seguimiento,Usuario,Nombre punto de control,Es preliminar,Es físico,Es denegado,Cant.,Tipo de objeto,Código,N/S,Nombre / Descripción,Tipo de producción,Nombre producción,Información adicional
31/03/2022,21:47,MAA,Montaje,,,,1,Set,HNB-OFT.002,18.0,Catarata 18,,,
31/03/2022,21:45,AV,Montaje,,,,1,Set,HNB-OFT.002,8.0,Catarata 08,,,
31/03/2022,21:42,MAA,Montaje,,,,1,Set,HNB-OFT.002,15.0,Catarata 15,,,
31/03/2022,21:42,AV,Montaje,,,,1,Set,HNB-OFT.002,6.0,Catarata 06,,,
31/03/2022,21:39,AV,Montaje,,,,1,Set,HNB-OFT.002,14.0,Catarata 14,,,
31/03/2022,21:35,MAA,Montaje,,,,1,Set,HNB-OFT.002,15.0,Catarata 15,,,
31/03/2022,21:27,MAA,Montaje,,,,1,Set,HNB-OFT.002,9.0,Catarata 09,,,
31/03/2022,21:23,AV,Montaje,,,,4,Set,EXT-QUI.002,,SUELTO BANJA,,,
31/03/2022,21:23,AV,Montaje,,,,2,Set,EXT-QUI.OMS800.04,,TAPONES DE MICROSCOPIO NEGROS,,,
31/03/2022,21:22,AV,Montaje,,,,3,Set,EXT-QUI.OMS800.02,,TAPONES DE MICROSCOPIO AZULES GRANDES - CONJUNTO MANGO,,,
31/03/2022,21:22,AV,Montaje,,,,1,Set,HGY-QUI.URO.SUELTO,,SUELTO QUIROFANO UROLOGIA ,,,
31/03/2022,21:12,MAA,Montaje,,,,1,Set,HNB-OFT.002,1.0,Catarata 01,,,
31/03/2022,21:08,MAA,Montaje,,,,1,Set,EQP-QUI.OFT.002,15.0,FACO INFINITI 15,,,
31/03/2022,21:05,AV,Montaje,,,,1,Set,EQP-QUI.OFT.002,4.0,FACO INFINITI 04,,,
31/03/2022,21:01,AV,Montaje,,,,1,Set,EQP-QUI.OFT.003,2.0,FACO CENTURION 02,,,
31/03/2022,20:58,AV,Montaje,,,,1,Set,EQP-QUI.OFT.002,11.0,FACO INFINITI 11,,,
31/03/2022,20:54,AV,Montaje,,,,1,Set,EQP-QUI.OFT.003,1.0,FACO CENTURION 01,,,
31/03/2022,20:53,AV,Montaje,,,,1,Set,EQP-QUI.OFT.002,12.0,FACO INFINITI 12,,,
31/03/2022,20:49,AV,Montaje,,,,1,Set,EQP-QUI.OFT.002,6.0,FACO INFINITI 06,,,
31/03/2022,20:49,MAA,Montaje,,,,1,Set,HNB-NC.010,1.0,Craneotomia 01,,,
31/03/2022,20:44,AV,Montaje,,,,1,Set,HNB-CPL.003,15.0,Locales 15,,,
31/03/2022,20:38,AV,Montaje,,,,1,Set,HNB-CPL.003,11.0,Locales 11,,,
31/03/2022,20:33,AV,Montaje,,,,1,Set,HNB-CPL.003,9.0,Locales 09,,,
31/03/2022,20:26,MAA,Montaje,,,,1,Set,EXT-QUI.006,,SUELTO BOTE,,,
31/03/2022,20:25,MAA,Montaje,,,,1,Set,EQP-QUI.URO.010,4.0,RESECTOR BIPOLAR OLYMPUS,,,
31/03/2022,20:24,MAA,Montaje,,,,1,Set,EQP-QUI.URO.010,2.0,RESECTOR BIPOLAR OLYMPUS,,,
31/03/2022,20:18,AV,Montaje,,,,1,Set,HNB-CPL.003,13.0,Locales 13,,,
31/03/2022,20:16,AV,Montaje,,,,1,Set,DEP-QUI.NEUR.SYNTHES,3.0,SYNTHES-PLACAS NEURO 3,,,
31/03/2022,19:21,SM,Montaje,,,,2,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,,,
31/03/2022,19:21,EH,Montaje,,,,1,Set,HNB-OFT.002,11.0,Catarata 11,,,
31/03/2022,19:21,VS,Montaje,,,,1,Set,EQP-QUI.OFT.002,2.0,FACO INFINITI 02,,,
31/03/2022,19:19,SM,Montaje,,,,2,Set,EXT-QUI.OMS800.04,,TAPONES DE MICROSCOPIO NEGROS,,,
31/03/2022,19:18,VS,Montaje,,,,1,Set,EQP-QUI.OFT.002,1.0,FACO INFINITI 01,,,
31/03/2022,19:17,SM,Montaje,,,,2,Set,EXT-QUI.OMS800.02,,TAPONES DE MICROSCOPIO AZULES GRANDES - CONJUNTO MANGO,,,
31/03/2022,19:17,SM,Montaje,,,,2,Set,EXT-QUI.002,,SUELTO BANJA,,,
31/03/2022,19:14,VS,Montaje,,,,1,Set,EQP-QUI.OFT.002,14.0,FACO INFINITI 14,,,
31/03/2022,19:14,PN,Montaje,,,,1,Set,HNB-OFT.002,7.0,Catarata 07,,,
31/03/2022,19:14,AV,Montaje,,,,1,Set,HNB-OFT.002,3.0,Catarata 03,,,
31/03/2022,19:13,SP,Montaje,,,,1,Set,HNB-OFT.002,2.0,Catarata 02,,,
31/03/2022,19:07,SM,Montaje,,,,4,Set,HGY-QUI.CV.SUELTO,,SUELTO QUIROFANO CIRUGIA VASCULAR,,,
31/03/2022,19:07,PN,Montaje,,,,1,Set,HNB-CPL.003,5.0,Locales 05,,,
31/03/2022,19:07,AV,Montaje,,,,1,Set,HNB-CPL.003,17.0,Locales 17,,,
31/03/2022,19:07,SM,Montaje,,,,1,Set,HUBU-QUI.CV.FO518R,,PINZA GUBIA SEMB,,,
31/03/2022,19:07,SM,Montaje,,,,2,Set,EXT-QUI.004,,MANGO LAMPARA,,,
31/03/2022,19:06,SM,Montaje,,,,1,Set,HGY-CCEE.SUELTO,,SUELTO CONSULTAS EXTERNAS,,,
31/03/2022,19:05,SM,Montaje,,,,2,Set,HUBU-CCEE.ORL.BD883R,,PINZA TAPONAMIENTO GRUENWALD BAYON.200MM,,,
31/03/2022,19:05,SM,Montaje,,,,1,Set,HUBU-CCEE.ORL.GF363R,,"CAN.ASP.FERGUSSON 3,0MM.L.TRAB.130MM",,,
31/03/2022,19:05,SM,Montaje,,,,1,Set,HUBU-CCEE.ORL.GF362R,,"CAN. ASP. FERGUSSON,2,5MM. L.TRAB.130MM",,,
31/03/2022,19:04,SM,Montaje,,,,1,Set,HUBU-CCEE.ORL.OK037R,,ESPEC NASAL HARTMANN-HALLE C.LLAVE TUB.,,,
