Fecha de seguimiento,Hora de seguimiento,Usuario,Nombre punto de control,Es preliminar,Es físico,Es denegado,Cant.,Tipo de objeto,Código,N/S,Nombre / Descripción,Tipo de producción,Nombre producción,Información adicional
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-DAVINCI.001,1.0,CAJA DE UROLOGIA 01,Producción,20220228000417,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-GIN.007,4.0,Histerectomia 04,Producción,20220121000428,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-GIN.003,5.0,Biopsia de Mama 05,Producción,20220222000025,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000394,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000171,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.002,,SUELTO BANJA,Producción,20220228000106,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HUBU-QUI.SUELTO,,MATERIAL SUELTO QUIROFANO,Producción,20220228000391,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HUBU-QUI.GIN.JG524R,,"BANJA LABORATORIO 1,0 LITRO L",Producción,20220228000392,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HUBU-QUI.GIN.JG524R,,"BANJA LABORATORIO 1,0 LITRO L",Producción,20220228000105,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HUBU-QUI.GIN.BH109R,,PINZA HEMOST.MICRO-HALSTED CRV.125MM,Producción,20220228000104,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HGY-QUI.GIN.SUELTO,,SUELTO QUIROFANO GINECOLOGIA,Producción,20220228000170,28/02/2022 / PN / GINE-QUI / Carro AL 7/10 / #200347-220228 PN
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.013a,1.0,Colecistectomia p. Laparoscopia 01,Producción,20220228000442,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.012,2.0,Colon Avanzado p. Laparoscopia 02,Producción,20220228000144,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.012,1.0,Colon Avanzado p. Laparoscopia 01,Producción,20220228000212,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.009,3.0,Recto Suplemento 03,Producción,20220211000409,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.009,2.0,Recto Suplemento 02,Producción,20220228000508,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.008,6.0,Tiroides 06,Producción,20220207000141,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.008,3.0,Tiroides 03,Producción,20220207000385,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.007,3.0,Biopsia 03,Producción,20220228000195,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.007,1.0,Biopsia 01,Producción,20220228000326,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.005,2.0,Hepatobiliar 02,Producción,20220228000217,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.003,8.0,Hernia 08,Producción,20220226000022,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.003,5.0,Hernia 05,Producción,20220228000319,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.001,7.0,Laparotomia 07,Producción,20220228000051,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.001,5.0,Laparotomia 05,Producción,20220228000050,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HNB-CG.001,2.0,Laparotomia 02,Producción,20220227000041,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.GOMA,,TUBO GOMA,Producción,20220228000013,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.CG.CUSA23,1.0,CUSA 23KHZ (Gris-Cirugia General),Producción,20220228000193,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000014,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000012,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000011,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.003,,SUELTO TERMO,Producción,20220228000365,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-QUI.OPT,16.0,"OPTICA HOPKINS II 0º, 10mm, 31cm",Producción,20220228000128,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-QUI.CG.OPT,14.0,"OPTICA HOPKINS II 30º, 10mm, 31cm",Producción,20220228000003,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-QUI.CG.OPT,11.0,"OPTICA HOPKINS II 0º, 10mm, 31cm",Producción,20220228000387,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.HARM_AZUL,,MANGO TRANSDUCTOR AZUL Y PUNTA DE PRUEBA AZUL (Azul),Producción,20220228000136,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.HARM,,MANGO TRANSDUCTOR (Gris),Producción,20220228000135,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.GOMA,,TUBO GOMA,Producción,20220228000210,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.GOMA,,TUBO GOMA,Producción,20220228000209,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.GOMA,,TUBO GOMA,Producción,20220228000137,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.GOMA,,TUBO GOMA,Producción,20220228000078,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000211,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000138,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000077,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000052,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000422,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EXT-QUI.002,,SUELTO BANJA,Producción,20220228000033,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-DAVINCI.022,1.0,"PORTA AGUJAS GRANDE ""XI""",Producción,20220228000421,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,HGY-QUI.CG.SUELTO,,SUELTO QUIROFANO CIRUGIA GENERAL,Producción,20220228000015,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-DAVINCI.006,2.0,ENDOSCOPIO 30º 8MM 02,Producción,20220228000393,
28/02/2022,21:35,PN,Comisionado,,,,1,Set,EQP-DAVINCI.004,2.0,CAJA DE ACCESORIOS 02,Producción,20220228000388,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HGY-QUI.TRA.SUELTO,,SUELTO QUIROFANO TRAUMATOLOGIA,Producción,20220228000361,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HGY-QUI.TRA.CAJA,,CONTENEDOR QUIROFANO TRAUMATOLOGIA,Producción,20220228000458,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.FIADOR,,FIADOR,Producción,20220228000108,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.FIADOR,,FIADOR,Producción,20220228000089,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.FIADOR,,FIADOR,Producción,20220228000075,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.006,1.0,Endomedular 01,Producción,20220228000205,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.003,6.0,Articulación 06,Producción,20220228000476,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.003,5.0,Articulación 05,Producción,20220228000471,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.002,6.0,Mano 06,Producción,20220228000511,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.002,2.0,Mano 02,Producción,20220228000509,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.002,1.0,Mano 01,Producción,20220228000510,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.001,6.0,Cadera 06,Producción,20220228000325,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000506,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000351,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000350,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000110,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.495NCS,,CABLE DE LUZ DE FIBRA OPTICA 250 CM,Producción,20220228000109,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000454,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000453,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.004,,MANGO LAMPARA,Producción,20220228000163,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.002,,SUELTO BANJA,Producción,20220228000164,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-TR.019,1.0,Fresas Endomedular 01,Producción,20220228000161,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HUBU-QUI.TR.FK176R,,"PALANCA HUESOS, HOHMANN,260MM AN.",Producción,20220228000362,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HNB-TR.014,4.0,Artroscopia General 04,Producción,20220228000466,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HNB-TR.014,2.0,Artroscopia General 02,Producción,20220228000469,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HNB-TR.010,4.0,MOTORES 04,Producción,20220228000468,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.TRA.006,3.0,MOTOR ARTROSCOPIA S&N,Producción,20220228000457,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.TRA.006,1.0,MOTOR ARTROSCOPIA STRYKER,Producción,20220228000174,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EXT-QUI.TRA.005,2.0,MOTOR ARTROSCOPIA STRYKER,Producción,20220228000452,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EQP-QUI.TRA.OPT,8.0,CAMARA,Producción,20220228000451,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EQP-QUI.TRA.OPT,6.0,OPTICA DE ARTROSCOPIA,Producción,20220228000459,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EQP-QUI.TRA.OPT,3.0,OPTICA COMPLETA STORZ,Producción,20220228000455,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,EQP-QUI.TRA.OPT,1.0,OPT+VAINA ARTROSCOPIA RODILLA,Producción,20220228000172,
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HNB-TR.010,2.0,MOTORES 02,Producción,20220228000505,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HNB-TR.010,1.0,MOTORES 01,Producción,20220228000206,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
28/02/2022,21:33,PN,Comisionado,,,,1,Set,HGY-QUI.SUELTO,,SUELTO QUIRÓFANO,Producción,20220228000461,28/02/2022 / PN / TRA-QUI / Carro AL 6/10 / #200344-220228 PN
